link,headline,author
https://nypost.com/2025/06/21/us-news/nyc-socialist-mayoral-candidate-zohran-mamdani-a-fan-of-abolishing-shsat/,"

					NYC socialist mayoral candidate Zohran Mamdani wanted to abolish high school exam because he thought it was racist				
","
				By Rich Calder 				June 21, 2025 |
				5:00pm"
https://nypost.com/2024/11/16/us-news/nyc-students-futures-could-be-derailed-over-delayed-shsat-vote/,"

					NYC students' futures could be derailed over delayed vote on specialized HS exam				
","
				By Deirdre Bardolf 				November 16, 2024 |
				10:11am"
https://nypost.com/2024/12/14/us-news/fight-intensifies-over-shsat-for-nycs-specialized-high-schools/,"

					Fight intensifies over entrance exam for NYC's specialized high schools as crucial contract renewal vote nears				
","
				By Deirdre Bardolf 				December 14, 2024 |
				12:04pm"
https://nypost.com/2024/12/19/us-news/contract-for-controversial-shsat-entrance-exam-into-elite-nyc-public-schools-granted-with-panel-vote/,"

					Contract for controversial entrance exam into 'elite' NYC public schools granted with panel vote				
","
				By Aneeta Bhole 				December 19, 2024 |
				12:11am"
https://nypost.com/2024/12/04/opinion/ny-public-school-families-fear-activists-will-nix-admissions-test-for-elite-high-schools/,"

					Activist sneak attack could kill admissions test for NYC's elite high schools				
","
				By Yiatin Chu and Lisa Marks 				December 4, 2024 |
				8:50pm"
https://nypost.com/2023/08/20/how-nyc-mom-wai-wah-chin-helped-end-affirmative-action/,"

					How a NYC mom-of-4 helped end affirmative action in college admissions				
","
				By Josh Kosman 				August 20, 2023 |
				6:37pm"
https://nypost.com/2022/04/09/eric-adams-eyes-building-specialized-schools-in-each-nyc-borough/,"

					Eric Adams floats building a new specialized school in each NYC borough				
","
				By Conor Skelding 				April 9, 2022 |
				7:35pm"
https://nypost.com/2021/12/09/high-school-guide-what-happens-now-with-admissions/,"

					High School Guide: What happens now with admissions?				
","
				By Alina Adams 				December 9, 2021 |
				10:07am"
https://nypost.com/2022/02/05/nycs-new-high-school-selection-setup-discounts-good-grades/,"

					'What the hell?' Good grades barely matter in NYC's new HS application process				
","
				By Susan Edelman and Mary Kay Linge 				February 5, 2022 |
				11:45am"
https://nypost.com/2022/04/16/laguardia-fame-school-doesnt-impress-todays-youth/,"

					Why today’s youth are no longer starstruck by LaGuardia ‘Fame School’				
","
				By Mary Kay Linge 				April 16, 2022 |
				10:30am"
https://nypost.com/2021/05/15/attacking-test-in-schools-is-anti-asian/,"

					Attacking test-in schools is anti-Asian				
","
				By Post Editorial Board 				May 15, 2021 |
				9:08pm"
https://nypost.com/2021/04/17/where-2021-nyc-mayoral-candidates-send-their-kids-to-school/,"

					NYC mayoral candidate wants to end 'screens' that got her own kid into a top school				
","
				By Susan Edelman 				April 17, 2021 |
				7:04pm"
https://nypost.com/2021/12/09/best-high-school-choices-for-helping-a-career-in-nyc/,"

					High School Guide: Best choices for helping a career				
","
				By Mary Kay Linge 				December 9, 2021 |
				8:39am"
https://nypost.com/2021/12/09/high-school-guide-the-top-12-non-specialized-schools/,"

					High School Guide: The top 12 non-specialized schools				
","
				By Mary Kay Linge 				December 9, 2021 |
				8:30am"
https://nypost.com/2021/02/06/snowstorm-pushes-nyc-to-cancel-specialized-high-schools-exam/,"

					Snowstorm pushes NYC to cancel specialized high schools exam				
","
				By Susan Edelman 				February 6, 2021 |
				7:23pm"
https://nypost.com/2021/01/19/nyc-department-of-education-posts-wrong-shsat-exam-information/,"

					NYC DOE throws parents into tailspin after posting wrong exam information				
","
				By Selim Algar 				January 19, 2021 |
				4:19pm"
https://nypost.com/2020/12/19/lawsuit-demands-doe-give-the-test-for-top-schools-in-30-days/,"

					NYC DOE must give test for top school entry in 30 days, lawsuit demands				
","
				By Susan Edelman 				December 19, 2020 |
				12:14pm"
